Country,ISO3,Technology,F2010,F2011,F2012,F2013,F2014,F2015,F2016,F2017,F2018,F2019,F2020,F2021,F2022,F2023
Australia,AUS,BEV,,98.0,390.0,600.0,1150.0,2260.0,2870.0,4600.0,7000.0,18300.0,22200.0,51000.0,100000.0,237000.0
Australia,AUS,EV,,0.006890000135172,0.032399999443442,0.038600001949817,0.173999996855855,0.2270000036805869,0.187000006437301,0.311999991536141,0.4969999864697459,1.340000048279766,1.2800000309944168,3.119999945163724,5.689999878406526,13.20000004768372
Australia,AUS,FCEV,,,,,,,,,,,,88.0,115.0,71.0
Australia,AUS,PHEV,,,160.0,280.0,2050.0,3100.0,3500.0,5000.0,7500.0,11500.0,11700.0,17400.0,26900.0,42000.0
Australia,AUS,fast,,,,,,,,40.0,61.0,,,320.0,470.0,660.0
Australia,AUS,slow,,,,,,,,440.0,670.0,1700.0,2300.0,2000.0,2100.0,2100.0
Austria,AUT,BEV,350.0,990.0,1400.0,2750.0,5100.0,6700.0,12900.0,20400.0,27800.0,39300.0,61000.0,110000.0,144000.0,208000.0
Austria,AUT,EV,0.00789999961853,0.021999999880791,0.032999999821186,0.2530000023543829,0.658999994397164,1.039999976754188,1.739999994635582,2.379999995231628,3.129999876022341,4.25,10.70000004768372,22.09999990463257,25.0,30.40000009536743
Austria,AUT,FCEV,,,,,9.0,10.0,13.0,21.0,31.0,60.0,59.0,69.0,76.0,98.0
Austria,AUT,PHEV,,,140.0,410.0,780.0,2600.0,3500.0,5600.0,8000.0,10200.0,22600.0,44000.0,55000.0,78000.0
Austria,AUT,fast,,0.100000001490116,0.100000001490116,0.100000001490116,0.100000001490116,0.100000001490116,0.100000001490116,0.100000001490116,0.100000001490116,0.100000001490116,0.100000001490116,1600.0,2600.0,2500.0
Austria,AUT,slow,,0.100000001490116,0.100000001490116,0.100000001490116,0.100000001490116,0.100000001490116,0.100000001490116,0.100000001490116,0.100000001490116,0.100000001490116,0.100000001490116,8900.0,13000.0,15000.0
Belgium,BEL,BEV,183.0,714.0,2000.0,2250.0,4141.0,5357.0,8151.0,11134.0,15913.0,29713.0,49382.0,78386.0,134160.0,294980.0
Belgium,BEL,EV,0.055599999381229,0.143300001975149,0.748800004832446,0.4337999960407609,1.256599994376301,1.6333999475464238,3.056100045330827,4.559699907898905,6.130800103768704,9.97200008295477,22.611999895423644,50.25600000657141,48.09800005331636,124.55999974906445
Belgium,BEL,FCEV,1.0,1.0,1.0,1.0,2.0,10.0,27.0,42.0,57.0,54.0,70.0,110.0,107.0,108.0
