Country,ISO3,Technology,F2010,F2011,F2012,F2013,F2014,F2015,F2016,F2017,F2018,F2019,F2020,F2021,F2022,F2023
Australia,AUS,EVs_per_capita,0.0,3.7692307692307694e-06,2.1153846153846154e-05,3.384615384615385e-05,0.00012307692307692307,0.00020615384615384614,0.000245,0.0003692307692307692,0.0005576923076923077,0.0011461538461538462,0.001303846153846154,0.002634153846153846,0.004885192307692307,0.0107335
Austria,AUT,EVs_per_capita,3.888888888888889e-05,0.00011,0.0001711111111111111,0.0003511111111111111,0.0006543333333333334,0.0010344444444444444,0.0018236666666666666,0.002891222222222222,0.003981222222222222,0.005506666666666667,0.009295444444444445,0.017118777777777778,0.022119555555555555,0.031788666666666666
Belgium,BEL,EVs_per_capita,1.675e-05,6.308333333333334e-05,0.00022425,0.00024175,0.0005270833333333333,0.0009789166666666666,0.0021990833333333333,0.003859416666666667,0.00489325,0.00665425,0.012897583333333334,0.020573916666666667,0.031150833333333332,0.056304
Brazil,BRA,EVs_per_capita,4.6296296296296295e-08,3.7037037037037036e-08,1.8518518518518518e-07,3.888888888888889e-07,6.25e-07,1.1342592592592592e-06,2.375e-06,5.273148148148148e-06,7.393518518518519e-06,2.3962962962962962e-05,3.848148148148148e-05,0.00016149537037037036,0.0002893472222222222,0.0006958611111111111
Bulgaria,BUL,EVs_per_capita,,,,,,,,,,,,,,
Canada,CAN,EVs_per_capita,1.5e-07,2.6975e-05,0.000109075,0.00021565,0.00039575,0.0006118,0.001016325,0.001593975,0.0032775,0.00468355,0.006662670000004769,0.00983435,0.013449275,0.01853395
Chile,CHL,EVs_per_capita,,,,,,,,,,,,,,
China,CHN,EVs_per_capita,4.762105263157894e-06,1.2568421052631579e-05,2.6442105263157896e-05,4.63719298245614e-05,0.0001425122807017544,0.0005249242105263157,0.0010144687719298245,0.0018091073684210527,0.002995162807017544,0.003831321403508772,0.004724886315789474,0.008644908070175438,0.01515642105263158,0.02235480701754386
Colombia,COL,EVs_per_capita,0.0,0.0,0.0,0.0,0.0,8.076923076923077e-07,1.0192307692307693e-06,2.846153846153846e-06,1.0961538461538462e-05,2.5384615384615386e-05,1.826923076923077e-05,4.884615384615385e-05,8.26923076923077e-05,0.00011730769230769231
Costa Rica,COS,EVs_per_capita,,,,,,,,,,,,,,
Croatia,CRO,EVs_per_capita,,,,,,,,,,,,,,
Cyprus,CYP,EVs_per_capita,,,,,,,,,,,,,,
Czech Republic,CZE,EVs_per_capita,,,,,,,,,,,,,,
Denmark,DNK,EVs_per_capita,1.7333333333333332e-05,0.00016433333333333333,0.0003495,0.0004135,0.0008531666666666667,0.002385833333333333,0.0021178333333333335,0.0021411666666666667,0.0035108333333333333,0.0061855,0.016147666666666668,0.03602966666666667,0.046072833333333334,0.067371
Estonia,EST,EVs_per_capita,,,,,,,,,,,,,,
Finland,FIN,EVs_per_capita,0.0,1.4333333333333334e-05,7.016666666666666e-05,0.000115,0.00022833333333333334,0.0003733333333333333,0.000781,0.0017511666666666667,0.003573,0.006363,0.012297333333333334,0.021972333333333333,0.0299075,0.04634066666666667
France,FRA,EVs_per_capita,4.961538461538462e-05,0.00016876923076923077,0.00040843076923076924,0.0007066769230769231,0.001014046153846154,0.0016164615384615384,0.0022895230769230768,0.003482369230769231,0.004442107692307692,0.005873292307692308,0.01074196923076923,0.01747903076923077,0.022860969230769232,0.033294
Germany,DEU,EVs_per_capita,9.75e-06,5.186904761904762e-05,0.0001329404761904762,0.00025879761904761906,0.0005065714285714286,0.0008696547619047619,0.0011816666666666666,0.002073130952380952,0.003051988095238095,0.004509261904761905,0.012349440476190476,0.02381459523809524,0.03297690476190476,0.03965517857142857
Greece,GRC,EVs_per_capita,,,,,,,,,,,,,,
Hungary,HUN,EVs_per_capita,,,,,,,,,,,,,,
Iceland,ICE,EVs_per_capita,,,,,,,,,,,,,,
India,IND,EVs_per_capita,9.432624113475178e-07,1.9148936170212767e-06,2.120567375886525e-06,2.3475177304964538e-06,3.1205673758865248e-06,3.5815602836879434e-06,4.26595744680851e-06,7.546099290780142e-06,9.595744680851064e-06,1.0492198581560284e-05,1.719290780141844e-05,3.301560283687943e-05,9.411843971631206e-05,0.00017809574468085108
Ireland,IRE,EVs_per_capita,,,,,,,,,,,,,,
Israel,ISR,EVs_per_capita,1e-06,9.777777777777777e-06,0.00013466666666666667,0.0001661112222222275,0.00014755555555555556,0.00015644444444444443,0.00016422222222222223,0.000535,0.0011812222222222222,0.0018066666666666667,0.0028767777777777776,0.007476333333333333,0.014702777777777778,0.02421777777777778
Italy,ITA,EVs_per_capita,2.9152542372881356e-05,3.159322033898305e-05,5.632203389830508e-05,8.13728813559322e-05,0.00011779661016949152,0.00017767796610169493,0.0002538983050847458,0.00037459322033898306,0.0006345084745762712,0.001086542372881356,0.0028371694915254237,0.0064794576271186444,0.0082,0.011166084745762712
Japan,JPN,EVs_per_capita,4.7216e-05,0.000245872,0.000566488,0.000844192,0.001203456,0.001335544,0.001502856,0.002123272,0.002336392,0.0025012,0.002770856,0.003249336,0.004450896,0.005652472
Korea,KOR,EVs_per_capita,2.5384615384615385e-06,1.1980769230769231e-05,2.6403846153846152e-05,3.890384615384615e-05,7.736538461538461e-05,0.00018271153846153847,0.00030465384615384615,0.0007736346153846154,0.0023575384615384617,0.002860769230769231,0.00446825,0.008286557692307692,0.012505192307692307,0.016504230769230768
Latvia,LAT,EVs_per_capita,,,,,,,,,,,,,,
