Country,ISO3,Technology,F2010,F2011,F2012,F2013,F2014,F2015,F2016,F2017,F2018,F2019,F2020,F2021,F2022,F2023
Australia,AUS,EVs_weighted,,26000000.0,26000000.0,26000000.0,26000000.0,26000000.0,26000000.0,26000000.0,26000000.0,26000000.0,26000000.0,26000000.0,26000000.0,26000000.0
Austria,AUT,EVs_weighted,9000000.0,9000000.0,9000000.0,9000000.0,9000000.0,9000000.0,9000000.0,9000000.0,9000000.0,9000000.0,9000000.0,9000000.0,9000000.0,9000000.0
Belgium,BEL,EVs_weighted,12000000.0,12000000.0,12000000.0,12000000.0,12000000.0,12000000.0,12000000.0,12000000.0,12000000.0,12000000.0,12000000.0,12000000.0,12000000.0,12000000.0
Brazil,BRA,EVs_weighted,216000000.0,216000000.0,216000000.0,216000000.0,216000000.0,216000000.0,216000000.0,216000000.0,216000000.0,216000000.0,216000000.0,216000000.0,216000000.0,216000000.0
Bulgaria,BUL,EVs_weighted,,,,,,,,,,,,,,
Canada,CAN,EVs_weighted,40000000.0,40000000.0,40000000.0,40000000.0,40000000.0,40000000.0,40000000.0,40000000.0,40000000.0,40000000.0,40000000.0,40000000.0,40000000.0,40000000.0
Chile,CHL,EVs_weighted,,20000000.0,20000000.0,20000000.0,20000000.0,20000000.0,20000000.0,20000000.0,20000000.0,20000000.0,20000000.0,20000000.0,20000000.0,20000000.0
China,CHN,EVs_weighted,1425000000.0,1425000000.0,1425000000.0,1425000000.0,1425000000.0,1425000000.0,1425000000.0,1425000000.0,1425000000.0,1425000000.0,1425000000.0,1425000000.0,1425000000.0,1425000000.0
Colombia,COL,EVs_weighted,,,,,,52000000.0,52000000.0,52000000.0,52000000.0,52000000.0,52000000.0,52000000.0,52000000.0,52000000.0
Costa Rica,COS,EVs_weighted,,,,,,,,,,,,,,
Croatia,CRO,EVs_weighted,,,,,,,,,,,,,,
Cyprus,CYP,EVs_weighted,,,,,,,,,,,,,,
Czech Republic,CZE,EVs_weighted,,,,,,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0
Denmark,DNK,EVs_weighted,6000000.0,6000000.0,6000000.0,6000000.0,6000000.0,6000000.0,6000000.0,6000000.0,6000000.0,6000000.0,6000000.0,6000000.0,6000000.0,6000000.0
Estonia,EST,EVs_weighted,,,,,,,,,,,,,,
Finland,FIN,EVs_weighted,,6000000.0,6000000.0,6000000.0,6000000.0,6000000.0,6000000.0,6000000.0,6000000.0,6000000.0,6000000.0,6000000.0,6000000.0,6000000.0
France,FRA,EVs_weighted,65000000.0,65000000.0,65000000.0,65000000.0,65000000.0,65000000.0,65000000.0,65000000.0,65000000.0,65000000.0,65000000.0,65000000.0,65000000.0,65000000.0
