region,parameter,mode,powertrain,year,value
Australia,EV stock share,Cars,EV,2011,0.000390000001062
Australia,EV sales share,Cars,EV,2011,0.00650000013411
Australia,EV sales,Cars,BEV,2011,49.0
Australia,EV stock,Cars,BEV,2011,49.0
Australia,EV stock,Cars,BEV,2012,220.0
Australia,EV sales,Cars,BEV,2012,170.0
Australia,EV sales share,Cars,EV,2012,0.029999999329448
Australia,EV stock share,Cars,EV,2012,0.002400000113994
Australia,EV stock,Cars,PHEV,2012,80.0
Australia,EV sales,Cars,PHEV,2012,80.0
Australia,EV sales,Cars,PHEV,2013,100.0
Australia,EV stock,Cars,PHEV,2013,180.0
Australia,EV stock share,Cars,EV,2013,0.004600000102073
Australia,EV sales share,Cars,EV,2013,0.034000001847744
Australia,EV sales,Cars,BEV,2013,190.0
Australia,EV stock,Cars,BEV,2013,410.0
Australia,EV stock,Cars,BEV,2014,780.0
Australia,EV sales,Cars,BEV,2014,370.0
Australia,EV sales share,Cars,EV,2014,0.159999996423721
Australia,EV stock share,Cars,EV,2014,0.014000000432134
Australia,EV stock,Cars,PHEV,2014,1100.0
Australia,EV sales,Cars,PHEV,2014,950.0
Australia,EV sales,Cars,PHEV,2015,1000.0
Australia,EV stock,Cars,PHEV,2015,2100.0
Australia,EV stock share,Cars,EV,2015,0.027000000700355
Australia,EV sales share,Cars,EV,2015,0.200000002980232
Australia,EV sales,Cars,BEV,2015,760.0
Australia,EV stock,Cars,BEV,2015,1500.0
Australia,EV stock,Cars,BEV,2016,2200.0
Australia,EV sales,Cars,BEV,2016,670.0
Australia,EV sales share,Cars,EV,2016,0.150000005960464
Australia,EV stock share,Cars,EV,2016,0.037000000476837
Australia,EV stock,Cars,PHEV,2016,2800.0
Australia,EV sales,Cars,PHEV,2016,700.0
Australia,EV sales,Cars,PHEV,2017,1100.0
Australia,EV stock,Cars,PHEV,2017,3900.0
Australia,EV stock share,Cars,EV,2017,0.052000001072884
Australia,EV sales share,Cars,EV,2017,0.259999990463257
Australia,EV charging points,EV,fast,2017,40.0
Australia,EV charging points,EV,slow,2017,440.0
Australia,EV sales,Cars,BEV,2017,1200.0
Australia,EV stock,Cars,BEV,2017,3400.0
Australia,EV stock,Cars,BEV,2018,5200.0
Australia,EV sales,Cars,BEV,2018,1800.0
Australia,EV charging points,EV,fast,2018,61.0
Australia,EV charging points,EV,slow,2018,670.0
Australia,EV sales share,Cars,EV,2018,0.419999986886978
Australia,EV stock share,Cars,EV,2018,0.076999999582768
Australia,EV stock,Cars,PHEV,2018,5700.0
Australia,EV sales,Cars,PHEV,2018,1800.0
Australia,EV sales,Cars,PHEV,2019,2900.0
Australia,EV stock,Cars,PHEV,2019,8600.0
Australia,EV stock share,Cars,EV,2019,0.140000000596046
Australia,EV sales share,Cars,EV,2019,1.20000004768372
Australia,EV charging points,EV,slow,2019,1700.0
Australia,EV sales,Cars,BEV,2019,6300.0
Australia,EV stock,Cars,BEV,2019,12000.0
Australia,EV stock,Cars,BEV,2020,17000.0
Australia,EV sales,Cars,BEV,2020,5200.0
Australia,EV charging points,EV,slow,2020,2300.0
Australia,EV sales share,Cars,EV,2020,1.10000002384186
Australia,EV stock share,Cars,EV,2020,0.180000007152557
Australia,EV stock,Cars,PHEV,2020,10000.0
Australia,EV sales,Cars,PHEV,2020,1700.0
Australia,EV sales,Cars,PHEV,2021,3400.0
Australia,EV stock,Cars,PHEV,2021,14000.0
Australia,EV stock,Cars,FCEV,2021,44.0
Australia,EV stock share,Cars,EV,2021,0.319999992847443
Australia,EV sales share,Cars,EV,2021,2.79999995231628
Australia,EV charging points,EV,fast,2021,320.0
Australia,EV charging points,EV,slow,2021,2000.0
Australia,EV sales,Cars,BEV,2021,17000.0
Australia,EV stock,Cars,BEV,2021,34000.0
Australia,EV sales,Cars,FCEV,2021,44.0
Australia,EV sales,Cars,FCEV,2022,15.0
Australia,EV stock,Cars,BEV,2022,67000.0
Australia,EV sales,Cars,BEV,2022,33000.0
Australia,EV sales share,Cars,EV,2022,5.09999990463257
Australia,EV stock,Cars,FCEV,2022,100.0
Australia,EV stock,Cars,PHEV,2022,21000.0
Australia,EV sales,Cars,PHEV,2022,5900.0
Australia,EV stock share,Cars,EV,2022,0.589999973773956
Australia,EV charging points,EV,fast,2022,470.0
Australia,EV charging points,EV,slow,2022,2100.0
Australia,EV charging points,EV,fast,2023,660.0
Australia,EV charging points,EV,slow,2023,2100.0
Australia,EV stock share,Cars,EV,2023,1.20000004768372
Australia,EV sales,Cars,PHEV,2023,11000.0
Australia,EV stock,Cars,PHEV,2023,31000.0
Australia,EV stock,Cars,FCEV,2023,65.0
Australia,EV sales share,Cars,EV,2023,12.0
Australia,EV sales,Cars,BEV,2023,87000.0
Australia,EV stock,Cars,BEV,2023,150000.0
Australia,EV sales,Cars,FCEV,2023,6.0
Austria,EV stock,Cars,BEV,2010,350.0
Austria,EV stock share,Cars,EV,2010,0.00789999961853
Austria,EV stock share,Cars,EV,2011,0.021999999880791
Austria,EV charging points,EV,fast,2011,0.100000001490116
Austria,EV charging points,EV,slow,2011,0.100000001490116
Austria,EV stock,Cars,BEV,2011,990.0
Austria,EV stock,Cars,BEV,2012,1400.0
Austria,EV stock,Cars,PHEV,2012,140.0
Austria,EV charging points,EV,fast,2012,0.100000001490116
Austria,EV charging points,EV,slow,2012,0.100000001490116
Austria,EV stock share,Cars,EV,2012,0.032999999821186
Austria,EV stock share,Cars,EV,2013,0.052999999374151
Austria,EV sales share,Cars,EV,2013,0.200000002980232
Austria,EV charging points,EV,fast,2013,0.100000001490116
Austria,EV charging points,EV,slow,2013,0.100000001490116
Austria,EV stock,Cars,PHEV,2013,410.0
Austria,EV stock,Cars,BEV,2013,2100.0
Austria,EV sales,Cars,BEV,2013,650.0
Austria,EV sales,Cars,BEV,2014,1700.0
Austria,EV stock,Cars,BEV,2014,3400.0
Austria,EV sales,Cars,FCEV,2014,6.0
Austria,EV stock,Cars,FCEV,2014,3.0
Austria,EV stock,Cars,PHEV,2014,780.0
Austria,EV charging points,EV,fast,2014,0.100000001490116
Austria,EV charging points,EV,slow,2014,0.100000001490116
Austria,EV sales share,Cars,EV,2014,0.569999992847443
Austria,EV stock share,Cars,EV,2014,0.089000001549721
Austria,EV stock share,Cars,EV,2015,0.140000000596046
Austria,EV sales share,Cars,EV,2015,0.899999976158142
Austria,EV charging points,EV,fast,2015,0.100000001490116
Austria,EV charging points,EV,slow,2015,0.100000001490116
Austria,EV stock,Cars,PHEV,2015,1500.0
Austria,EV stock,Cars,FCEV,2015,6.0
Austria,EV sales,Cars,FCEV,2015,4.0
Austria,EV sales,Cars,PHEV,2015,1100.0
Austria,EV stock,Cars,BEV,2015,5000.0
Austria,EV sales,Cars,BEV,2015,1700.0
Austria,EV sales,Cars,BEV,2016,3800.0
Austria,EV stock,Cars,BEV,2016,9100.0
Austria,EV sales,Cars,PHEV,2016,1200.0
Austria,EV stock,Cars,FCEV,2016,13.0
Austria,EV stock,Cars,PHEV,2016,2300.0
Austria,EV charging points,EV,fast,2016,0.100000001490116
Austria,EV charging points,EV,slow,2016,0.100000001490116
Austria,EV sales share,Cars,EV,2016,1.5
Austria,EV stock share,Cars,EV,2016,0.239999994635582
Austria,EV stock share,Cars,EV,2017,0.379999995231628
Austria,EV sales share,Cars,EV,2017,2.0
Austria,EV charging points,EV,fast,2017,0.100000001490116
Austria,EV charging points,EV,slow,2017,0.100000001490116
Austria,EV stock,Cars,PHEV,2017,3900.0
Austria,EV stock,Cars,FCEV,2017,19.0
Austria,EV sales,Cars,FCEV,2017,2.0
Austria,EV sales,Cars,PHEV,2017,1700.0
Austria,EV stock,Cars,BEV,2017,15000.0
Austria,EV sales,Cars,BEV,2017,5400.0
Austria,EV sales,Cars,BEV,2018,6800.0
Austria,EV stock,Cars,BEV,2018,21000.0
Austria,EV sales,Cars,PHEV,2018,2300.0
Austria,EV sales,Cars,FCEV,2018,7.0
Austria,EV stock,Cars,FCEV,2018,24.0
Austria,EV stock,Cars,PHEV,2018,5700.0
Austria,EV charging points,EV,fast,2018,0.100000001490116
Austria,EV charging points,EV,slow,2018,0.100000001490116
Austria,EV sales share,Cars,EV,2018,2.59999990463257
Austria,EV stock share,Cars,EV,2018,0.529999971389771
Austria,EV stock share,Cars,EV,2019,0.75
Austria,EV sales share,Cars,EV,2019,3.5
Austria,EV charging points,EV,fast,2019,0.100000001490116
Austria,EV charging points,EV,slow,2019,0.100000001490116
Austria,EV stock,Cars,PHEV,2019,8000.0
Austria,EV stock,Cars,FCEV,2019,41.0
Austria,EV sales,Cars,FCEV,2019,19.0
Austria,EV stock,Cars,BEV,2019,30000.0
Austria,EV sales,Cars,BEV,2019,9300.0
Austria,EV sales,Cars,PHEV,2019,2200.0
Austria,EV sales,Cars,PHEV,2020,7600.0
Austria,EV sales,Cars,BEV,2020,16000.0
Austria,EV stock,Cars,BEV,2020,45000.0
Austria,EV sales,Cars,FCEV,2020,14.0
Austria,EV stock,Cars,FCEV,2020,45.0
Austria,EV stock,Cars,PHEV,2020,15000.0
Austria,EV charging points,EV,fast,2020,0.100000001490116
Austria,EV charging points,EV,slow,2020,0.100000001490116
Austria,EV sales share,Cars,EV,2020,9.5
Austria,EV stock share,Cars,EV,2020,1.20000004768372
Austria,EV stock share,Cars,EV,2021,2.09999990463257
Austria,EV sales share,Cars,EV,2021,20.0
Austria,EV charging points,EV,fast,2021,1600.0
Austria,EV charging points,EV,slow,2021,8900.0
Austria,EV stock,Cars,PHEV,2021,29000.0
Austria,EV stock,Cars,FCEV,2021,55.0
Austria,EV sales,Cars,FCEV,2021,14.0
